JOB_ID,ACTIVITY_TS,ACTIVITY_TYPE,MESSAGE,FIELD_NAME,PREV_VALUE,NEW_VALUE
A1B2C3,2024-01-02T12:00:00,Update,"Updated job description","JOB_DESCRIPTION","Initial description","Develop and maintain software applications"
A1B2C3,2024-01-15T09:00:00,Change,"Changed job status","STATUS","Draft","Open"
D4E5F6,2024-01-06T10:30:00,Update,"Modified required skills","REQUIRED_SKILLS","N/A","SEO, Content Creation"
D4E5F6,2024-01-20T11:15:00,Change,"Updated job title","TITLE","Marketing Manager","Marketing Specialist"
G7H8I9,2024-01-11T14:45:00,Update,"Added new proficiency","PREFERRED_SKILLS","N/A","R, Python"
G7H8I9,2024-01-21T08:30:00,Change,"Changed job status","STATUS","Draft","Open"
J1K2L3,2024-01-16T13:00:00,Update,"Updated posting title","POSTING_TITLE","Product Manager Role","Product Manager Vacancy"
J1K2L3,2024-01-22T15:00:00,Change,"Changed location flexibility","LOCATION_FLEXIBILITY","None","High flexibility"
M4N5O6,2024-01-23T10:15:00,Update,"Updated job posting ID","POSTING_ID","POST-004","POST-005"
M4N5O6,2024-01-25T12:00:00,Change,"Changed question requirement","IS_REQUIRED","No","Yes"
